gu,X,Y
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.04713,37.483387
강남구,127.041466,37.504757
강남구,127.03633,37.51128
강남구,127.036095,37.510906
강남구,127.1138,37.478252
강남구,127.11348,37.477818
강남구,127.06061,37.48259
강남구,127.07221,37.486977
강남구,127.07297,37.487545
강남구,127.05865,37.484375
강남구,127.065414,37.488968
강남구,127.05387,37.480602
강남구,127.05786,37.476566
강남구,127.06192,37.481388
강남구,127.05836,37.47675
강남구,127.0563,37.47882
강남구,127.07373,37.488953
강남구,127.063515,37.480167
강남구,127.067245,37.48653
강남구,127.04132,37.488976
강남구,127.104675,37.48455
강남구,127.07579,37.492226
강남구,127.11636,37.46569
강남구,127.11884,37.467022
강남구,127.02415,37.505775
강남구,127.05724,37.4858
강남구,127.03766,37.50858
강남구,127.06476,37.51483
강남구,127.052216,37.47177
강남구,127.05378,37.494675
강남구,127.10684,37.464672
강남구,127.078896,37.493233
강남구,127.05961,37.492577
강남구,127.06428,37.492786
강남구,127.06408,37.49246
강남구,127.05546,37.474434
강남구,127.05344,37.49475
강남구,127.056526,37.491585
강남구,127.05655,37.49118
강남구,127.03333,37.522114
강남구,127.05177,37.500908
강남구,127.05858,37.49256
강남구,127.09538,37.472443
강남구,127.10617,37.475124
강남구,127.10729,37.47566
강남구,127.10768,37.476097
강남구,127.04104,37.49154
강남구,127.04896,37.488144
강남구,127.10164,37.47341
강남구,127.05901,37.51414
강남구,127.06236,37.51439
강남구,127.08265,37.489147
강남구,127.05183,37.51238
강남구,127.041794,37.490055
강남구,127.03111,37.50624
강남구,127.05205,37.51578
강남구,127.035164,37.517326
강남구,127.03478,37.515358
강남구,127.051216,37.505447
강남구,127.10996,37.464657
강남구,127.10783,37.463577
강남구,127.107864,37.468945
강남구,127.09156,37.470394
강남구,127.036064,37.51576
강남구,127.093765,37.48432
강남구,127.05247,37.489735
강남구,127.03884,37.507988
강남구,127.06408,37.4837
강남구,127.06356,37.483555
