no,gu,X,Y
ARI00001,서대문구,126.96675,37.561924
ARI00002,서대문구,126.96675,37.561924
ARI00003,서대문구,126.96675,37.561924
ARI00004,서대문구,126.96675,37.561924
ARI00005,서대문구,126.96675,37.561924
ARI00006,서대문구,126.96675,37.561924
ARI00007,서대문구,126.96675,37.561924
ARI00008,서대문구,126.96675,37.561924
ARI00009,서대문구,126.96675,37.561924
ARI00010,서대문구,126.96675,37.561924
ARI00011,서대문구,126.96675,37.561924
ARI00012,서대문구,126.96675,37.561924
ARI00013,서대문구,126.96675,37.561924
ARI00014,서대문구,126.96675,37.561924
ARI00015,서대문구,126.96675,37.561924
ARI00016,서대문구,126.96675,37.561924
ARI00017,서대문구,126.96675,37.561924
ARI00018,서대문구,126.96675,37.561924
ARI00019,서대문구,126.96675,37.561924
ARI00020,서대문구,126.96675,37.561924
ARI00021,서대문구,126.96675,37.561924
ARI00022,서대문구,126.96675,37.561924
ARI00023,서대문구,126.96675,37.561924
ARI00024,서대문구,126.96675,37.561924
ARI00025,서대문구,126.96675,37.561924
ARI00026,서대문구,126.96675,37.561924
ARI00027,서대문구,126.96675,37.561924
ARI00028,서대문구,126.96675,37.561924
ARI00029,서대문구,126.96675,37.561924
ARI00030,서대문구,126.96675,37.561924
ARI00031,서대문구,126.96675,37.561924
ARI00032,서대문구,126.96675,37.561924
ARI00033,서대문구,126.96675,37.561924
ARI00034,서대문구,126.96675,37.561924
ARI00035,서대문구,126.96675,37.561924
ARI00036,중구,127.0031,37.553608
ARI00037,중구,127.0031,37.553608
ARI00038,중구,127.0031,37.553608
ARI00039,중구,127.0031,37.553608
ARI00040,중구,127.0031,37.553608
ARI00041,중구,127.0031,37.553608
ARI00042,중구,127.0031,37.553608
ARI00043,중구,127.0031,37.553608
ARI00044,중구,127.0031,37.553608
ARI00045,중구,127.0031,37.553608
ARI00046,중구,127.0031,37.553608
ARI00047,중구,127.0031,37.553608
ARI00048,중구,127.0031,37.553608
ARI00049,중구,127.0031,37.553608
ARI00050,중구,127.0031,37.553608
ARI00051,중구,127.0031,37.553608
ARI00052,중구,127.0031,37.553608
ARI00053,중구,127.0031,37.553608
ARI00054,중구,127.0031,37.553608
ARI00055,서대문구,126.952415,37.583054
ARI00056,서대문구,126.952415,37.583054
ARI00057,서대문구,126.952415,37.583054
ARI00058,서대문구,126.952415,37.583054
ARI00059,서대문구,126.952415,37.583054
ARI00060,서대문구,126.952415,37.583054
ARI00061,서대문구,126.952415,37.583054
ARI00062,서대문구,126.952415,37.583054
ARI00063,서대문구,126.952415,37.583054
ARI00064,서대문구,126.952415,37.583054
ARI00065,서대문구,126.952415,37.583054
ARI00066,서대문구,126.952415,37.583054
ARI00067,서대문구,126.952415,37.583054
ARI00068,서대문구,126.952415,37.583054
ARI00069,서대문구,126.952415,37.583054
ARI00070,서대문구,126.952415,37.583054
ARI00071,서대문구,126.952415,37.583054
ARI00072,서대문구,126.952415,37.583054
ARI00073,성동구,127.03539,37.55928
ARI00074,성동구,127.03539,37.55928
ARI00075,성동구,127.03539,37.55928
ARI00076,성동구,127.03539,37.55928
ARI00077,성동구,127.03539,37.55928
ARI00078,성동구,127.03539,37.55928
ARI00079,성동구,127.03539,37.55928
ARI00080,성동구,127.03539,37.55928
ARI00081,성동구,127.03539,37.55928
ARI00082,성동구,127.03539,37.55928
ARI00083,성동구,127.03539,37.55928
ARI00084,성동구,127.03539,37.55928
ARI00085,성동구,127.03539,37.55928
ARI00086,성동구,127.03539,37.55928
ARI00087,성동구,127.03539,37.55928
ARI00088,성동구,127.03539,37.55928
ARI00089,성동구,127.03539,37.55928
ARI00090,강북구,127.036125,37.634155
ARI00091,강북구,127.036125,37.634155
ARI00092,강북구,127.036125,37.634155
ARI00093,강북구,127.036125,37.634155
ARI00094,강북구,127.036125,37.634155
ARI00095,강북구,127.036125,37.634155
ARI00096,강북구,127.036125,37.634155
ARI00097,강북구,127.036125,37.634155
ARI00098,강북구,127.036125,37.634155
ARI00099,강북구,127.036125,37.634155
ARI00100,강북구,127.036125,37.634155
ARI00101,강북구,127.036125,37.634155
ARI00102,강북구,127.036125,37.634155
ARI00103,강북구,127.036125,37.634155
ARI00104,강북구,127.036125,37.634155
ARI00105,강북구,127.036125,37.634155
ARI00106,강북구,127.036125,37.634155
ARI00107,강북구,127.036125,37.634155
ARI00108,강북구,127.036125,37.634155
ARI00109,양천구,126.86976,37.519573
ARI00110,양천구,126.86976,37.519573
ARI00111,양천구,126.86976,37.519573
ARI00112,양천구,126.86976,37.519573
ARI00113,양천구,126.86976,37.519573
ARI00114,양천구,126.86976,37.519573
ARI00115,양천구,126.86976,37.519573
ARI00116,양천구,126.86976,37.519573
ARI00117,양천구,126.86976,37.519573
ARI00118,양천구,126.86976,37.519573
ARI00119,양천구,126.86976,37.519573
ARI00120,양천구,126.86976,37.519573
ARI00121,양천구,126.86976,37.519573
ARI00122,양천구,126.86976,37.519573
ARI00123,양천구,126.86976,37.519573
ARI00124,양천구,126.86976,37.519573
ARI00125,양천구,126.86976,37.519573
ARI00126,양천구,126.86976,37.519573
ARI00127,양천구,126.86976,37.519573
ARI00128,양천구,126.86976,37.519573
ARI00129,양천구,126.86976,37.519573
ARI00130,양천구,126.86976,37.519573
ARI00131,양천구,126.86976,37.519573
ARI00132,양천구,126.86976,37.519573
ARI00133,동작구,126.915,37.492393
ARI00134,동작구,126.915,37.492393
ARI00135,동작구,126.915,37.492393
ARI00136,동작구,126.915,37.492393
ARI00137,동작구,126.915,37.492393
ARI00138,동작구,126.915,37.492393
ARI00139,동작구,126.915,37.492393
ARI00140,동작구,126.915,37.492393
ARI00141,동작구,126.915,37.492393
ARI00142,동작구,126.915,37.492393
ARI00143,동작구,126.915,37.492393
ARI00144,동작구,126.915,37.492393
ARI00145,동작구,126.915,37.492393
ARI00146,동작구,126.915,37.492393
ARI00147,동작구,126.915,37.492393
ARI00148,동작구,126.915,37.492393
ARI00149,동작구,126.915,37.492393
ARI00150,동작구,126.915,37.492393
ARI00151,강남구,127.04713,37.483387
ARI00152,강남구,127.04713,37.483387
ARI00153,강남구,127.04713,37.483387
ARI00154,강남구,127.04713,37.483387
ARI00155,강남구,127.04713,37.483387
ARI00156,강남구,127.04713,37.483387
ARI00157,강남구,127.04713,37.483387
ARI00158,강남구,127.04713,37.483387
ARI00159,강남구,127.04713,37.483387
ARI00160,강남구,127.04713,37.483387
ARI00161,강남구,127.04713,37.483387
ARI00162,강남구,127.04713,37.483387
ARI00163,강남구,127.04713,37.483387
ARI00164,강남구,127.04713,37.483387
ARI00165,강남구,127.04713,37.483387
ARI00166,강남구,127.04713,37.483387
ARI00167,강남구,127.04713,37.483387
ARI00168,강남구,127.04713,37.483387
ARI00169,강남구,127.04713,37.483387
ARI00170,강동구,127.12603,37.529
ARI00171,강동구,127.12603,37.529
ARI00172,강동구,127.12603,37.529
ARI00173,강동구,127.12603,37.529
ARI00174,강동구,127.12603,37.529
ARI00175,강동구,127.12603,37.529
ARI00176,강동구,127.12603,37.529
ARI00177,강동구,127.12603,37.529
ARI00178,강동구,127.12603,37.529
ARI00179,강동구,127.12603,37.529
ARI00180,강동구,127.12603,37.529
ARI00181,강동구,127.12603,37.529
ARI00182,강동구,127.12603,37.529
ARI00183,강동구,127.12603,37.529
ARI00184,강동구,127.12603,37.529
ARI00185,강동구,127.12603,37.529
ARI00186,강동구,127.12603,37.529
ARI00187,강동구,127.12603,37.529
ARI00188,강동구,127.12603,37.529
ARI00189,강동구,127.12603,37.529
ARI00190,강동구,127.12603,37.529
ARI00191,광진구,127.091896,37.547
ARI00192,광진구,127.091896,37.547
ARI00193,광진구,127.091896,37.547
ARI00194,광진구,127.091896,37.547
ARI00195,광진구,127.091896,37.547
ARI00196,광진구,127.091896,37.547
ARI00197,광진구,127.091896,37.547
ARI00198,광진구,127.091896,37.547
ARI00199,광진구,127.091896,37.547
ARI00200,광진구,127.091896,37.547
ARI00201,광진구,127.091896,37.547
ARI00202,광진구,127.091896,37.547
ARI00203,광진구,127.091896,37.547
ARI00204,광진구,127.091896,37.547
ARI00205,광진구,127.091896,37.547
ARI00206,광진구,127.091896,37.547
ARI00207,광진구,127.091896,37.547
ARI00208,광진구,127.091896,37.547
ARI00209,광진구,127.091896,37.547
ARI00210,광진구,127.091896,37.547
ARI00211,광진구,127.091896,37.547
ARI00212,광진구,127.091896,37.547
ARI00213,광진구,127.091896,37.547
ARI00214,광진구,127.091896,37.547
ARI00215,성동구,127.0428,37.53843
ARI00216,성동구,127.0428,37.53843
ARI00217,성동구,127.0428,37.53843
ARI00218,성동구,127.0428,37.53843
ARI00219,성동구,127.0428,37.53843
ARI00220,성동구,127.0428,37.53843
ARI00221,성동구,127.0428,37.53843
ARI00222,성동구,127.0428,37.53843
ARI00224,광진구,127.080925,37.5499
ARI00225,광진구,127.080925,37.5499
ARI00226,광진구,127.080925,37.5499
ARI00227,동작구,126.94501,37.515057
ARI00228,동작구,126.94501,37.515057
ARI00229,동작구,126.94501,37.515057
ARI00230,동작구,126.94501,37.515057
ARI00231,동작구,126.94501,37.515057
ARI00232,동작구,126.94501,37.515057
ARI00233,동작구,126.94501,37.515057
ARI00234,광진구,127.080925,37.5499
BS100001,강남구,127.041466,37.504757
BS100002,강남구,127.03633,37.51128
BS100003,강남구,127.036095,37.510906
BS100004,강남구,127.1138,37.478252
BS100005,강남구,127.11348,37.477818
BS100006,강남구,127.06061,37.48259
BS100007,강남구,127.07221,37.486977
BS100008,강남구,127.07297,37.487545
BS100009,강남구,127.05865,37.484375
BS100010,강남구,127.065414,37.488968
BS100011,강남구,127.05387,37.480602
BS100012,강남구,127.05786,37.476566
BS100013,강남구,127.06192,37.481388
BS100014,강남구,127.05836,37.47675
BS100015,강남구,127.0563,37.47882
BS100016,강남구,127.07373,37.488953
BS100017,강남구,127.063515,37.480167
BS100018,강남구,127.067245,37.48653
BS100019,강남구,127.04132,37.488976
BS100020,강남구,127.104675,37.48455
BS100021,강남구,127.07579,37.492226
BS100022,강남구,127.11636,37.46569
BS100023,강남구,127.11884,37.467022
BS100024,강남구,127.02415,37.505775
BS100025,강남구,127.05724,37.4858
BS100026,강남구,127.03766,37.50858
BS100027,강남구,127.06476,37.51483
BS100028,강남구,127.052216,37.47177
BS100029,강남구,127.05378,37.494675
BS100030,강남구,127.10684,37.464672
BS100031,강남구,127.078896,37.493233
BS100032,강남구,127.05961,37.492577
BS100033,강남구,127.06428,37.492786
BS100034,강남구,127.06408,37.49246
BS100035,강남구,127.05546,37.474434
BS100036,강남구,127.05344,37.49475
BS100037,강남구,127.056526,37.491585
BS100038,강남구,127.05655,37.49118
BS100039,강남구,127.03333,37.522114
BS100040,강남구,127.05177,37.500908
BS100041,강남구,127.05858,37.49256
BS100042,강남구,127.09538,37.472443
BS100043,강남구,127.10617,37.475124
BS100044,강남구,127.10729,37.47566
BS100045,강남구,127.10768,37.476097
BS100046,강남구,127.04104,37.49154
BS100047,강남구,127.04896,37.488144
BS100048,강남구,127.10164,37.47341
BS100049,강남구,127.05901,37.51414
BS100050,강남구,127.06236,37.51439
BS100051,강남구,127.08265,37.489147
BS100052,강남구,127.05183,37.51238
BS100053,강남구,127.041794,37.490055
BS100054,강남구,127.03111,37.50624
BS100055,강남구,127.05205,37.51578
BS100056,강남구,127.035164,37.517326
BS100057,강남구,127.03478,37.515358
BS100058,강남구,127.051216,37.505447
BS100059,강남구,127.10996,37.464657
BS100060,강남구,127.10783,37.463577
BS100061,강남구,127.107864,37.468945
BS100062,강남구,127.09156,37.470394
BS100063,강남구,127.036064,37.51576
BS100064,강남구,127.093765,37.48432
BS100065,강남구,127.05247,37.489735
BS100066,강남구,127.03884,37.507988
BS100067,강남구,127.06408,37.4837
BS100068,강남구,127.06356,37.483555
BS100069,강남구,127.0891,37.483864
BS100070,강남구,127.03354,37.525646
BS100071,강남구,127.02609,37.505135
BS100072,강남구,127.03975,37.509224
BS100073,강남구,127.04735,37.49945
BS100074,강남구,127.04426,37.499805
BS100075,강남구,127.0746,37.488476
BS100076,강남구,127.02347,37.511852
BS100077,강남구,127.08049,37.49119
BS100078,강남구,127.05689,37.483173
BS100079,강남구,127.05708,37.483715
BS100080,강남구,127.05499,37.476982
BS100081,강남구,127.050804,37.48701
BS100082,강남구,127.09858,37.465767
BS100083,강남구,127.06326,37.499447
BS100084,강남구,127.06697,37.495766
BS100085,강남구,127.07958,37.48247
BS100086,강남구,127.085976,37.483383
BS100087,강남구,127.08328,37.48512
BS100088,강남구,127.087685,37.490654
BS100089,강남구,127.0356,37.514328
BS100090,강남구,127.1044,37.482655
BS100091,강남구,127.076164,37.49849
BS100092,강남구,127.09335,37.484528
BS100093,강남구,127.05579,37.507835
BS100094,강남구,127.05422,37.480858
BS100095,강남구,127.07196,37.49725
BS100096,강남구,127.071396,37.496677
BS100097,강남구,127.043045,37.51281
BS100098,강남구,127.0546,37.510227
BS100099,강남구,127.052826,37.482265
BS100100,강남구,127.06149,37.504074
BS100101,강동구,127.14903,37.537003
BS100102,강동구,127.17398,37.564034
BS100103,강동구,127.17325,37.549404
BS100104,강동구,127.17237,37.55337
BS100105,강동구,127.17393,37.566013
BS100106,강동구,127.17381,37.565884
BS100107,강동구,127.17543,37.56403
BS100108,강동구,127.17772,37.56227
BS100109,강동구,127.17374,37.55734
BS100110,강동구,127.16832,37.550438
BS100111,강동구,127.15219,37.549053
BS100112,강동구,127.15378,37.55937
BS100113,강동구,127.15508,37.555
BS100114,강동구,127.165764,37.560146
BS100115,강동구,127.15814,37.555687
BS100116,강동구,127.15652,37.560448
BS100117,강동구,127.152596,37.53904
BS100118,강동구,127.153015,37.53918
BS100119,강동구,127.14203,37.53365
BS100120,강동구,127.13652,37.527588
BS100121,강동구,127.14818,37.536102
BS100122,강동구,127.152176,37.55485
BS100123,강동구,127.1493,37.54835
BS100124,강동구,127.14945,37.55479
BS100125,강동구,127.14947,37.554523
BS100126,강동구,127.14359,37.528843
BS100127,강동구,127.16755,37.545788
BS100128,강동구,127.164444,37.556587
BS100129,강동구,127.16332,37.54598
BS100130,강동구,127.17236,37.54664
BS100131,강동구,127.14658,37.55479
BS100132,강동구,127.13132,37.554615
BS100133,강동구,127.14212,37.54298
BS100134,강동구,127.14465,37.55772
BS100135,강동구,127.13932,37.554558
BS100136,강동구,127.12846,37.527172
BS100137,강동구,127.15591,37.547817
BS100138,강동구,127.17099,37.559757
BS100139,강북구,127.0112,37.61973
BS100140,강북구,127.019,37.634434
BS100141,강북구,127.03919,37.632107
BS100142,강북구,127.03923,37.632477
BS100143,강북구,127.023094,37.636974
BS100144,강북구,127.02872,37.619713
BS100145,강북구,127.02993,37.61376
BS100146,강북구,127.03021,37.612896
BS100147,강북구,127.02665,37.62487
BS100148,강북구,127.02714,37.62411
BS100149,강북구,127.047226,37.627014
BS100150,강북구,127.04437,37.62865
BS100151,강북구,127.03704,37.626625
BS100152,강북구,127.03753,37.622585
BS100153,강북구,127.021645,37.61442
BS100154,강북구,127.02136,37.61438
BS100155,강북구,127.016685,37.616177
BS100156,강북구,127.01883,37.61635
BS100157,강북구,127.02849,37.61706
BS100158,강북구,127.0261,37.638477
BS100159,강북구,127.029045,37.641243
BS100160,강북구,127.02866,37.640675
BS100161,강북구,127.02417,37.631226
BS100162,강북구,127.024574,37.63053
BS100163,강북구,127.02412,37.636658
