gu,X,Y
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.04713,37.483387
Gangnamgu,127.041466,37.504757
Gangnamgu,127.03633,37.51128
Gangnamgu,127.036095,37.510906
Gangnamgu,127.1138,37.478252
Gangnamgu,127.11348,37.477818
Gangnamgu,127.06061,37.48259
Gangnamgu,127.07221,37.486977
Gangnamgu,127.07297,37.487545
Gangnamgu,127.05865,37.484375
Gangnamgu,127.065414,37.488968
Gangnamgu,127.05387,37.480602
Gangnamgu,127.05786,37.476566
Gangnamgu,127.06192,37.481388
Gangnamgu,127.05836,37.47675
Gangnamgu,127.0563,37.47882
Gangnamgu,127.07373,37.488953
Gangnamgu,127.063515,37.480167
Gangnamgu,127.067245,37.48653
Gangnamgu,127.04132,37.488976
Gangnamgu,127.104675,37.48455
Gangnamgu,127.07579,37.492226
Gangnamgu,127.11636,37.46569
Gangnamgu,127.11884,37.467022
Gangnamgu,127.02415,37.505775
Gangnamgu,127.05724,37.4858
Gangnamgu,127.03766,37.50858
Gangnamgu,127.06476,37.51483
Gangnamgu,127.052216,37.47177
Gangnamgu,127.05378,37.494675
Gangnamgu,127.10684,37.464672
Gangnamgu,127.078896,37.493233
Gangnamgu,127.05961,37.492577
Gangnamgu,127.06428,37.492786
Gangnamgu,127.06408,37.49246
Gangnamgu,127.05546,37.474434
Gangnamgu,127.05344,37.49475
Gangnamgu,127.056526,37.491585
Gangnamgu,127.05655,37.49118
Gangnamgu,127.03333,37.522114
Gangnamgu,127.05177,37.500908
Gangnamgu,127.05858,37.49256
Gangnamgu,127.09538,37.472443
Gangnamgu,127.10617,37.475124
Gangnamgu,127.10729,37.47566
Gangnamgu,127.10768,37.476097
Gangnamgu,127.04104,37.49154
Gangnamgu,127.04896,37.488144
Gangnamgu,127.10164,37.47341
Gangnamgu,127.05901,37.51414
Gangnamgu,127.06236,37.51439
Gangnamgu,127.08265,37.489147
Gangnamgu,127.05183,37.51238
Gangnamgu,127.041794,37.490055
Gangnamgu,127.03111,37.50624
Gangnamgu,127.05205,37.51578
Gangnamgu,127.035164,37.517326
Gangnamgu,127.03478,37.515358
Gangnamgu,127.051216,37.505447
Gangnamgu,127.10996,37.464657
Gangnamgu,127.10783,37.463577
Gangnamgu,127.107864,37.468945
Gangnamgu,127.09156,37.470394
Gangnamgu,127.036064,37.51576
Gangnamgu,127.093765,37.48432
Gangnamgu,127.05247,37.489735
Gangnamgu,127.03884,37.507988
Gangnamgu,127.06408,37.4837
Gangnamgu,127.06356,37.483555
Gangnamgu,127.0891,37.483864
Gangnamgu,127.03354,37.525646
Gangnamgu,127.02609,37.505135
Gangnamgu,127.03975,37.509224
Gangnamgu,127.04735,37.49945
Gangnamgu,127.04426,37.499805
Gangnamgu,127.0746,37.488476
Gangnamgu,127.02347,37.511852
Gangnamgu,127.08049,37.49119
Gangnamgu,127.05689,37.483173
Gangnamgu,127.05708,37.483715
Gangnamgu,127.05499,37.476982
Gangnamgu,127.050804,37.48701
Gangnamgu,127.09858,37.465767
Gangnamgu,127.06326,37.499447
Gangnamgu,127.06697,37.495766
Gangnamgu,127.07958,37.48247
Gangnamgu,127.085976,37.483383
Gangnamgu,127.08328,37.48512
Gangnamgu,127.087685,37.490654
Gangnamgu,127.0356,37.514328
Gangnamgu,127.1044,37.482655
Gangnamgu,127.076164,37.49849
Gangnamgu,127.09335,37.484528
Gangnamgu,127.05579,37.507835
Gangnamgu,127.05422,37.480858
Gangnamgu,127.07196,37.49725
Gangnamgu,127.071396,37.496677
Gangnamgu,127.043045,37.51281
Gangnamgu,127.0546,37.510227
Gangnamgu,127.052826,37.482265
Gangnamgu,127.06149,37.504074
Gangnamgu,127.0365,37.515522
Gangnamgu,127.032104,37.511448
Gangnamgu,127.049965,37.502743
